정류장번호,정류장명,위도,경도,도시명,reason,detail
GGB281500130,생극,37.0365167,127.60505,충청북도 음성군,outside_region,contained:충청북도
GGB281500120,생극,37.0365,127.60485,충청북도 음성군,outside_region,contained:충청북도
GGB164000354,생산기술연구원,37.3832167,126.6495833,인천광역시,outside_region,contained:인천광역시
GGB277103816,서공주IC(미정차),36.4551167,127.0584833,충청남도 공주시,outside_region,contained:충청남도
GGB277103815,서공주IC(미정차),36.4555,127.0585,충청남도 공주시,outside_region,contained:충청남도
GGB168000339,서곶지구대,37.5573333,126.6732,인천광역시,outside_region,contained:인천광역시
GGB168000338,서곶지구대,37.5573,126.6729833,인천광역시,outside_region,contained:인천광역시
GGB168000776,서구국민체육센터,37.5658167,126.6783833,인천광역시,outside_region,contained:인천광역시
GGB168000212,서구문화회관,37.5155,126.6791167,인천광역시,outside_region,contained:인천광역시
GGB168000213,서구문화회관,37.5158,126.6789,인천광역시,outside_region,contained:인천광역시
GGB168000448,서구영어마을,37.59155,126.7058833,인천광역시,outside_region,contained:인천광역시
GGB168000449,서구영어마을,37.5920333,126.7054167,인천광역시,outside_region,contained:인천광역시
GGB168000289,서구청역(1번출구),37.54495,126.6771,인천광역시,outside_region,contained:인천광역시
GGB168000284,서구청역(3번출구),37.5432,126.6765833,인천광역시,outside_region,contained:인천광역시
GGB168000296,서구청역(4번출구),37.5455333,126.6767333,인천광역시,outside_region,contained:인천광역시
GGB277103957,서군위IC(미정차),36.2460833,128.4800667,대구광역시 군위군,outside_region,far
GGB277103958,서군위IC(미정차),36.2462167,128.4802167,대구광역시 군위군,outside_region,far
GGB277101244,서김제IC(미정차),35.8341,126.8395833,전라북도 김제시,outside_region,far
GGB277101243,서김제IC(미정차),35.8346667,126.8394167,전라북도 김제시,outside_region,far
GGB277101245,서김제TG(미정차),35.8312,126.8430167,전라북도 김제시,outside_region,far
GGB277101246,서김제TG(미정차),35.83115,126.8426833,전라북도 김제시,outside_region,far
GGB277102897,서남원IC(미정차),35.3612,127.3372833,전라북도 남원시,outside_region,far
GGB277102898,서남원IC(미정차),35.3609667,127.3379,전라북도 남원시,outside_region,far
GGB277101033,서논산IC(미정차),36.22425,127.0530333,충청남도 논산시,outside_region,contained:충청남도
GGB277101032,서논산IC(미정차),36.2248833,127.05295,충청남도 논산시,outside_region,contained:충청남도
GGB277101184,서대구TG(미정차),35.8816333,128.5286667,대구광역시,outside_region,far
GGB277101183,서대구TG(미정차),35.8848667,128.52575,대구광역시,outside_region,far
GGB154500080,서대구고속버스터미널,35.8903,128.5620333,대구광역시,outside_region,far
GGB154500070,서대구고속버스터미널,35.89025,128.56175,대구광역시,outside_region,far
GGB277101522,서대전JC(미정차),36.2939333,127.3162333,대전광역시,outside_region,nearest:충청남도 3878 m
GGB277101521,서대전JC(미정차),36.29425,127.3158,대전광역시,outside_region,nearest:충청남도 3885 m
GGB164000384,서면초등학교,37.4030833,126.67025,인천광역시,outside_region,contained:인천광역시
GGB168000299,서부공단입구,37.5564667,126.64175,인천광역시,outside_region,contained:인천광역시
GGB168000301,서부공단입구,37.55245,126.6558333,인천광역시,outside_region,contained:인천광역시
GGB277103818,서부여IC(미정차),36.23925,126.79,충청남도 부여군,outside_region,contained:충청남도
GGB277103817,서부여IC(미정차),36.2397,126.7899,충청남도 부여군,outside_region,contained:충청남도
GGB277101104,서산IC(미정차),36.8064833,126.5714667,충청남도 서산시,outside_region,contained:충청남도
GGB277101103,서산IC(미정차),36.8068167,126.5713,충청남도 서산시,outside_region,contained:충청남도
